 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Andrea Di Blasio","Boston U.","Jr.","6-1","F","17","1","1","1.000"
"","Nacho Diaz Barragan","George Mason","Sr.","5-8","F","14","1","1","1.000"
"","Momo Diop","Marshall","Sr.","6-2","F","13","1","1","1.000"
"","Braden Dunham","Furman","Fr.","6-1","D","23","1","1","1.000"
"","Thimson Duolo","VMI","Fr.","6-4","F","18","1","1","1.000"
"","Lukas Egarter","Temple","Jr.","5-9","M","15","1","1","1.000"
"","Ask Ekeland","Boston College","Sr.","6-3","M","17","1","1","1.000"
"","Andres Escudero","Evansville","Fr.","6-1","F","20","1","1","1.000"
"","Patrik Fagan","UAB","So.","5-11","F","10","1","1","1.000"
"","Griffin Feather","Lafayette","Jr.","6-0","M","20","1","1","1.000"
"","Bryce Flowers","Northeastern","So.","5-11","F","15","1","1","1.000"
"","Alessandro Franciosa","Columbia","Sr.","5-10","M","13","1","1","1.000"
"","Kimito Fritz","UNC Greensboro","Sr.","6-0","D","23","1","1","1.000"
"","Juan Pablo Gonzalez","Jacksonville","Sr.","-","D","18","1","1","1.000"
"","Jackson Gould","Stony Brook","Sr.","5-11","M","19","1","1","1.000"
"","Allbranly Gue","Sacramento St.","Fr.","6-1","M","16","1","1","1.000"
"","Ransford Gyan","Clemson","So.","5-6","F","17","1","1","1.000"
"","Ethan Hackenberg","SIUE","Sr.","5-9","M","16","1","1","1.000"
"","Joon Han","DePaul","So.","5-5","M","17","1","1","1.000"
"","Sabri Hanni","UConn","Jr.","5-7","M","20","1","1","1.000"
"","Drew Hardin","California Baptist","Jr.","5-11","M","13","1","1","1.000"
"","Oscar Harris","San Francisco","Fr.","6-2","F","17","1","1","1.000"
"","Shion Hayashi","Eastern Ill.","Jr.","5-8","M","17","1","1","1.000"
"","Alan Hermitte","Grand Canyon","So.","6-1","F","20","1","1","1.000"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","1","1","1.000"
"","Mason Jimenez","Clemson","Jr.","6-0","M","17","1","1","1.000"
"","Mikey Johnson","Delaware","Sr.","6-2","F","17","1","1","1.000"
"","Luke Johnson","Saint Joseph's","Sr.","6-0","M","18","1","1","1.000"
"","Samy Kanaan","San Diego","Sr.","5-11","F","15","1","1","1.000"
"","Oskar Kaufmann","USC Upstate","So.","6-2","F","19","1","1","1.000"
"","Oscar Kelly","USC Upstate","Fr.","5-7","M","18","1","1","1.000"
"","Elias Khodri","New Hampshire","Sr.","6-0","F","18","1","1","1.000"
"","Raphael Kistmann","Kansas City","Sr.","6-0","M","19","1","1","1.000"
"","Lewis Knecht","Utah Valley","Fr.","5-11","F","14","1","1","1.000"
"","Daiki Kumakawa","Milwaukee","Sr.","5-5","M","18","1","1","1.000"
"","Philipp Kühn","Vermont","Fr.","6-3","F","16","1","1","1.000"
"","Jackson Lagos","Duke","Sr.","5-11","M","3","1","1","1.000"
"","Yanis Lakhlifi","St. Thomas (MN)","Sr.","6-1","F","17","1","1","1.000"
"","Christian Lindtner Wahlstroem","Jacksonville","Fr.","-","F","12","1","1","1.000"
"","Ben Liscum","Penn St.","Sr.","6-0","M","16","1","1","1.000"
"","Diego Lopez-Rosales","LMU (CA)","Sr.","-","F","18","1","1","1.000"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","1","1","1.000"
"","Alek Markovski","Western Mich.","So.","6-2","F","14","1","1","1.000"
"","Zachary Martin","Ga. Southern","Sr.","6-1","F","11","1","1","1.000"
"","Jose Luis Martin Montealegre","Utah Valley","Jr.","6-2","F","13","1","1","1.000"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","1","1","1.000"
"","Marcello Mazzola","Villanova","Jr.","5-8","F","12","1","1","1.000"
"","John Paul Mbuthia","Massachusetts","Sr.","6-0","F","12","1","1","1.000"
"","Kevin Mejias","Bradley","Sr.","5-7","F","17","1","1","1.000"
"","Jeff Mesidor","Oral Roberts","Fr.","-","M","17","1","1","1.000"
"","Vasilis Moiras","Dartmouth","Jr.","5-9","F","6","1","1","1.000"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","1","1","1.000"
"","Javier Montava","George Mason","Jr.","5-8","M","16","1","1","1.000"
"","Robbie Mora","Gonzaga","Sr.","6-0","M","14","1","1","1.000"
"","Aidan Morrison","Liberty","So.","6-2","M","16","1","1","1.000"
"","Ethan Newsome","UNCW","Sr.","5-8","M","16","1","1","1.000"
"","Dunes Nielsen","Utah Tech","So.","5-11","M","14","1","1","1.000"
"","Brandon Nyagurungo","South Fla.","Sr.","6-0","F","17","1","1","1.000"
"","Eliot O'Neil","Mount St. Mary's","So.","6-1","M","11","1","1","1.000"
"","Rashaad Ogun","CSU Bakersfield","Sr.","5-9","F","14","1","1","1.000"
"","Orthodoxos Orthodoxou","Charlotte","So.","6-0","F","12","1","1","1.000"
"","Parker Owens","Cal Poly","Jr.","6-4","D","15","1","1","1.000"
"","John Palomino","Detroit Mercy","So.","6-0","F","11","1","1","1.000"
"","Louis Peña","Belmont","So.","6-1","M","16","1","1","1.000"
"","Marc Pitarch Bayot","Bryant","Sr.","6-3","F","18","1","1","1.000"
"","Mouhamed Pouye","UTRGV","Jr.","5-7","F","10","1","1","1.000"
"","Markus Pusztahegyi","St. John's (NY)","Sr.","6-1","D","7","1","1","1.000"
"","Joao Paulo Ramos","Michigan","Jr.","5-9","M","20","1","1","1.000"
"","Anthony Randazzo","Binghamton","Jr.","6-0","F","12","1","1","1.000"
"","Matthew Reed","Creighton","Jr.","5-10","D","15","1","1","1.000"
"","Diego Robles","UIW","So.","-","-","18","1","1","1.000"
"","Bruno Rosa","Providence","Sr.","6-2","F","15","1","1","1.000"
"","Silas Rustin","Detroit Mercy","Sr.","6-0","M","14","1","1","1.000"
"","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","1","1","1.000"
"","Carlos Santamaria","NC State","Sr.","5-8","M","22","1","1","1.000"
"","Balthazar Saunders","UConn","Sr.","6-0","M","21","1","1","1.000"
"","Nathan Scott","Syracuse","Jr.","5-9","M","20","1","1","1.000"
"","Braden Seel","Dayton","Jr.","6-0","M","18","1","1","1.000"
"","Donovan Sessoms","Sacramento St.","Jr.","5-10","F","17","1","1","1.000"
"","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","1","1","1.000"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","1","1","1.000"
"","Calle Sjoberg","Iona","Jr.","6-0","M","18","1","1","1.000"
"","Zac Smuck","UC Irvine","Fr.","6-3","F","20","1","1","1.000"
"","Ryan Sommerfeld","Detroit Mercy","Sr.","6-3","F","12","1","1","1.000"
"","Mateo Stoka","Marquette","Jr.","5-9","M","15","1","1","1.000"
"","Oren Stuppel","Cal Poly","Sr.","5-8","F","20","1","1","1.000"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","17","1","1","1.000"
"","Jackson Sullivan","Bucknell","Sr.","6-3","D","18","1","1","1.000"
"","Michael Switala","Bradley","Sr.","6-2","M","16","1","1","1.000"
"","Bradley Takamo","Omaha","So.","5-9","F","15","1","1","1.000"
"","Nicolo Vallocchia","Merrimack","Fr.","5-8","M","14","1","1","1.000"
"","Matthew Van Horn","Georgetown","Jr.","6-0","M","17","1","1","1.000"
"","Daniele Verdirosi","Missouri St.","Sr.","6-0","F","16","1","1","1.000"
"","Artem Vovk","UCLA","So.","5-9","F","7","1","1","1.000"
"","Jack Wagoner","Indiana","Sr.","5-10","M","18","1","1","1.000"
"","Zion Wagoner","CSUN","Sr.","6-2","F","18","1","1","1.000"
"","Vlad Walent","Wake Forest","Jr.","5-9","D","17","1","1","1.000"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","1","1","1.000"
"","Patrick Ward","Davidson","Jr.","5-11","D","19","1","1","1.000"
"","Hiroshi Yang","Sacramento St.","So.","5-8","M","9","1","1","1.000"
"","Diego Zaffanella","Yale","Sr.","5-11","M","15","1","1","1.000"
"","Malcolm Zalayet","California","So.","6-0","F","18","1","1","1.000"
"","Carlos Zambrano","Syracuse","Sr.","5-10","M","20","1","1","1.000"
"","Salvatore Zani","Merrimack","So.","6-0","F","16","1","1","1.000"
"","Sebastian Zettl","Fla. Atlantic","Sr.","5-9","M","13","1","1","1.000"
"","Ronald Zhai","Army West Point","So.","6-0","M","18","1","1","1.000"
"","Angelo Zhu","Yale","Fr.","5-8","M","15","1","1","1.000"
"237","Laurie Goddard","Hofstra","Sr.","6-2","M","20","5","6","0.833"
"","Angel Gongora","Milwaukee","Sr.","6-2","M","19","5","6","0.833"
"239","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","4","5","0.800"
"240","Palmer Ault","Indiana","Sr.","5-10","F","19","3","4","0.750"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","3","4","0.750"
"","Leon Koehl","Maryland","Jr.","6-2","M","16","3","4","0.750"
"","Martin Kozak","Elon","Jr.","5-11","M","19","3","4","0.750"
"","Ethan Roberts","Campbell","Sr.","6-1","F","20","3","4","0.750"
"","Thomas Robertson","Lehigh","Jr.","5-10","F","20","3","4","0.750"
"246","Caleb Danquah","Stony Brook","Sr.","5-6","F","19","2","3","0.667"
"","David Davila","Southern Ind.","So.","6-3","F","14","2","3","0.667"
"","Samir Dishnica","Lafayette","Jr.","6-0","M","22","2","3","0.667"
"","Fynn Lahrsen","Villanova","So.","6-4","F","18","2","3","0.667"
"","Kyle McGowan","Denver","Jr.","6-3","F","22","2","3","0.667"
"251","Drew Lovelace","NC State","Sr.","6-2","FM","23","3","5","0.600"
"","Matteo Mazzotta","Saint Joseph's","Sr.","5-8","M","17","3","5","0.600"
"253","Evan Howard","SIUE","Sr.","6-5","F","16","2","4","0.500"
"","Pedro Amadou","La Salle","So.","6-2","-","14","1","2","0.500"
"","Clarence Awoudor","UCF","Sr.","5-7","FM","21","1","2","0.500"
"","Drew Blackwell","La Salle","Sr.","5-8","M","17","1","2","0.500"
"","Trevor Burns","Duke","Sr.","5-8","M","19","1","2","0.500"
"","Camilo Comi","VCU","Sr.","5-7","F","17","1","2","0.500"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","1","2","0.500"
"","Tancredi Fadda","Evansville","Sr.","6-2","F","18","1","2","0.500"
"","Kevin Gorbell","Robert Morris","Jr.","6-1","D","17","1","2","0.500"
"","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","1","2","0.500"
"","Anass Hadran","Robert Morris","Sr.","5-7","M","17","1","2","0.500"
"","Noeh Hernandez","DePaul","Jr.","5-9","F","16","1","2","0.500"
"","Joe Highfield","Portland","So.","6-4","F","20","1","2","0.500"
"","Daniel Idiakhoa","LMU (CA)","So.","5-9","M","10","1","2","0.500"
"","Dan Karsten","Rutgers","So.","6-2","F","16","1","2","0.500"
"","Robbie Lyons","Gardner-Webb","Sr.","-","M","17","1","2","0.500"
"","Santiago Marin","Central Conn. St.","Fr.","-","M","9","1","2","0.500"
"","Ivan Morcillo","Sacred Heart","So.","5-11","F","17","1","2","0.500"
"","Alfredo Ortiz","California","Sr.","5-5","D","18","1","2","0.500"
"","Oscar Perez","UMass Lowell","Sr.","6-0","D","14","1","2","0.500"
"","Rui Reis","UIC","Sr.","5-9","M","18","1","2","0.500"
"","Paolo Roditti","Cleveland St.","Jr.","6-4","M","19","1","2","0.500"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","1","2","0.500"
"","Luke Schierenbeck","Quinnipiac","Sr.","6-3","D","15","1","2","0.500"
"","Damian Segura","Drake","Jr.","5-8","M","11","1","2","0.500"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","17","1","2","0.500"
"279","Ricky Louis","Ga. Southern","So.","6-2","F","17","1","3","0.333"
"280","Connor Miller","Cornell","Jr.","5-8","M","20","0","2","0.000"
"","Edouard Nys","UIC","Jr.","5-8","M","18","0","2","0.000"
"","William Pierce","Fairfield","Sr.","5-9","M","18","0","2","0.000"
"","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","0","1","0.000"
"","Filip Arras","CSU Bakersfield","Jr.","6-1","D","17","0","1","0.000"
"","Tyson Aschliman","IU Indy","So.","6-0","D","17","0","1","0.000"
"","Louis Beckett","UNC Asheville","Sr.","5-11","M","15","0","1","0.000"
"","Alessandro Bedei","Merrimack","Sr.","6-0","D","16","0","1","0.000"
"","Brando Bedolla","Longwood","So.","5-9","F","15","0","1","0.000"
"","Fabrizio Bernal de la Garza","Xavier","Sr.","5-10","F","14","0","1","0.000"
"","Roy Biegon","Lafayette","Jr.","6-1","F","12","0","1","0.000"
"","Ethan Blake","Lindenwood","Sr.","5-9","F","21","0","1","0.000"
"","Elie Bokota","LMU (CA)","Sr.","6-0","M","16","0","1","0.000"
"","Liam Corr","Mercer","Jr.","5-8","M","18","0","1","0.000"
"","Luca Costabile","Maryland","Sr.","5-11","D","19","0","1","0.000"
"","Jesus De Vicente","Virginia","Sr.","5-11","D","19","0","1","0.000"
"","Nelson Dongmo","LIU","Fr.","6-2","F","14","0","1","0.000"
"","Ty Duax","Western Ill.","So.","5-9","FM","20","0","1","0.000"
"","Grayson Elmquist","Michigan","Jr.","6-1","F","16","0","1","0.000"
"","Inaki Esnaola","UMass Lowell","Sr.","5-8","F","18","0","1","0.000"
"","William Fagerberg","Manhattan","So.","6-0","M","14","0","1","0.000"
"","Rylan Firouznam","Cal Poly","So.","5-9","M","18","0","1","0.000"
"","Alex Fleury","Stony Brook","Jr.","6-0","M","19","0","1","0.000"
"","Lucho Galizzi","Memphis","Sr.","6-0","F","15","0","1","0.000"
"","Wes Gibson","SIUE","Sr.","6-1","D","19","0","1","0.000"
"","Jamin Gogo Peters","Brown","Sr.","-","F","15","0","1","0.000"
"","Josemir Gomez","Butler","Sr.","6-2","F","14","0","1","0.000"
"","Jose Gomez","NIU","Sr.","5-10","M","17","0","1","0.000"
"","Ben Griffis","Eastern Ill.","Sr.","6-1","M","17","0","1","0.000"
"","Anton Hjalmarsson","Portland","Jr.","6-1","F","17","0","1","0.000"
"","Kenan Hot","Duke","Sr.","5-11","M","19","0","1","0.000"
"","Elijah John","Liberty","Jr.","5-8","D","19","0","1","0.000"
"","Roman Kedgley","Wright St.","Sr.","5-9","D","15","0","1","0.000"
"","Aidan Kelly","Massachusetts","Sr.","-","D","14","0","1","0.000"
"","Anton Khelil","North Florida","So.","6-3","M","18","0","1","0.000"
"","Tony Kim","UAB","Jr.","-","F","15","0","1","0.000"
"","Will Kirchhofer","Southern Ind.","Jr.","5-6","M","14","0","1","0.000"
"","Philip Kleemann","Washington","Jr.","6-4","D","5","0","1","0.000"
"","Charlie Kosakoff","Washington","Jr.","5-11","F","23","0","1","0.000"
"","Lovro Kostanj?ek","Rider","Sr.","5-11","FM","17","0","1","0.000"
"","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","0","1","0.000"
"","Nick Legendre","UNLV","Jr.","5-9","F","16","0","1","0.000"
"","Jack Lucas","Bucknell","Jr.","6-0","MD","18","0","1","0.000"
"","Richie Ludwig","Michigan St.","Jr.","5-11","F","15","0","1","0.000"
"","Ayman Maadir","Davidson","Jr.","6-2","D","15","0","1","0.000"
"","Jesus Macaya","Longwood","Jr.","6-0","M","16","0","1","0.000"
"","Andres Mata","Stetson","Sr.","5-9","M","17","0","1","0.000"
"","Filipe Matos","Campbell","Jr.","5-7","M","19","0","1","0.000"
"","Jordan Matthews","Lindenwood","Sr.","5-8","FM","16","0","1","0.000"
"","Sachiel Ming","Syracuse","So.","5-7","FM","20","0","1","0.000"
"","Joao Neves","Tulsa","Sr.","5-10","F","11","0","1","0.000"
"","Bright Nutornutsi","Syracuse","Sr.","5-10","F","18","0","1","0.000"
"","Nicholas Nyquist","Harvard","Sr.","6-2","F","11","0","1","0.000"
"","Reyes Parra","American","Jr.","5-7","M","18","0","1","0.000"
"","Umberto Pelà","Virginia","Sr.","5-11","M","17","0","1","0.000"
"","Alex Perez","Virginia Tech","So.","5-10","M","16","0","1","0.000"
"","Martin Piedeleu","Siena","Fr.","5-8","M","19","0","1","0.000"
"","Blake Pipkin","Colgate","So.","5-7","F","17","0","1","0.000"
"","Agustin Resch","Seton Hall","Sr.","6-6","D","19","0","1","0.000"
"","Austin Rocke","Rhode Island","Sr.","5-11","M","4","0","1","0.000"
"","Piero Sabroso","Western Mich.","Sr.","6-4","F","15","0","1","0.000"
"","Andrey Salmeron","VCU","Jr.","5-10","M","17","0","1","0.000"
"","Joschi Schelb","Rutgers","Jr.","6-0","M","17","0","1","0.000"
"","Youssef Shafei","Central Conn. St.","Fr.","-","F","14","0","1","0.000"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","0","1","0.000"
"","Jake Smith","Denver","Sr.","6-0","M","19","0","1","0.000"
"","Alander Soares","Lindenwood","So.","5-10","F","19","0","1","0.000"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","0","1","0.000"
"","Chad Sovde","Washington","So.","6-1","M","10","0","1","0.000"
"","Ryan Suckling","ETSU","Sr.","6-1","D","13","0","1","0.000"
"","Reon Tezuka","Niagara","Jr.","-","F","16","0","1","0.000"
"","Caden Tolentino","NC State","Sr.","5-9","M","19","0","1","0.000"
"","Hugo Urdiales","Loyola Chicago","Sr.","6-1","F","14","0","1","0.000"
"","Lex Vaughan","Saint Peter's","Sr.","5-11","M","10","0","1","0.000"
"","Trevor Walk","Utah Valley","Jr.","6-2","FM","13","0","1","0.000"
"","Jonah Wolf","Saint Francis","So.","6-1","M","16","0","1","0.000"
"","Kasper Wollstein","Cornell","So.","6-3","F","20","0","1","0.000"
"","Juan Zepeda","San Diego St.","So.","6-3","F","18","0","1","0.000"
"","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","0","1","0.000"
Reclassifying
"NR","Mario Ganser","Mercyhurst","Sr.","6-3","D","16","2","2","1.000"
"NR","Francesco Pagano","Le Moyne","Sr.","6-1","F","17","1","1","1.000"
"NR","Antonino Pagano","Le Moyne","Sr.","5-10","M","17","0","1","0.000"

NCAA Men's Soccer
Division ITotal Points
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points"
"1","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","18","6","42"
"","Palmer Ault","Indiana","Sr.","5-10","F","19","16","10","42"
"","Zach Zengue","Georgetown","Sr.","5-9","M","22","14","14","42"
"4","Donavan Phillip","NC State","Jr.","6-2","F","22","19","2","40"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","15","10","40"
"6","Sergi Solans Ormo","UCLA","So.","6-2","F","19","16","6","38"
"7","Edouard Nys","UIC","Jr.","5-8","M","18","16","5","37"
"","Laurie Goddard","Hofstra","Sr.","6-2","M","20","15","7","37"
"9","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","14","7","35"
"10","Daniel Lugo","High Point","So.","6-2","F","20","14","5","33"
"11","Mitchell Baker","Georgetown","So.","6-4","F","21","14","3","31"
"","Daniel Burko","Hofstra","Sr.","6-3","F","20","13","5","31"
"","Marius Stenner","Delaware","So.","6-0","F","17","11","9","31"
"14","Lilian Ricol","UCF","Jr.","6-2","F","21","13","4","30"
"15","Charlie Kosakoff","Washington","Jr.","5-11","F","23","11","7","29"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","10","9","29"
"","Clarence Awoudor","UCF","Sr.","5-7","FM","21","7","15","29"
"18","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","10","8","28"
"","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","8","12","28"
"20","Stephan Soghomonian","SMU","So.","5-10","F","20","13","1","27"
"","Joe Highfield","Portland","So.","6-4","F","20","11","5","27"
"","Jaime Amaro","Bryant","Fr.","5-7","-","22","10","7","27"
"23","Richard Monath","Delaware","Jr.","5-8","M","17","12","2","26"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","12","2","26"
"","Patrick Cayelli","Penn","Sr.","5-10","M","17","9","8","26"
"26","Arnold Matshazi","San Jose St.","So.","5-9","F","20","12","1","25"
"","Jeremy Francou","Kansas City","Jr.","6-0","F","21","11","3","25"
"","Mikey Johnson","Delaware","Sr.","6-2","F","17","11","3","25"
"","Kyle McGowan","Denver","Jr.","6-3","F","22","11","3","25"
"","Pablo Pozos","West Virginia","Jr.","6-0","F","21","11","3","25"
"","Arnau Rabassa Guillamon","FDU","Sr.","-","M","20","11","3","25"
"","Lucas Almeida","Siena","Jr.","6-1","F","18","10","5","25"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","10","5","25"
"","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","9","7","25"
"","Cooper Flax","Wake Forest","Sr.","6-0","M","17","9","7","25"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","9","7","25"
"","Wilfer Bustamante","Furman","So.","5-8","F","23","8","9","25"
"38","Tim Strele","Saint Peter's","Sr.","6-1","F","15","12","0","24"
"","Andres Escudero","Evansville","Fr.","6-1","F","20","11","2","24"
"","David Ajagbe","Portland","So.","6-1","F","20","10","4","24"
"","Austin Brummett","UConn","Sr.","6-0","F","20","10","4","24"
"","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","9","6","24"
"","Ransford Gyan","Clemson","So.","5-6","F","17","8","8","24"
"","Zach Ramsey","Washington","So.","5-10","M","24","8","8","24"
"45","Oskar Kaufmann","USC Upstate","So.","6-2","F","19","11","1","23"
"","David Ismail","Vermont","Sr.","6-4","F","19","10","3","23"
"","Lewis Rourke","Old Dominion","Jr.","6-2","F","18","10","3","23"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","9","5","23"
"","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","9","5","23"
"","Nacho Abeal","North Carolina","Sr.","5-8","M","20","7","9","23"
"51","Blake D'Agostino","California Baptist","So.","6-2","F","16","10","2","22"
"","Cooper Forcellini","Xavier","Sr.","6-1","M","15","10","2","22"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","10","2","22"
"","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","9","4","22"
"","Iain Wagner","San Diego","So.","5-9","M","19","9","4","22"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","8","6","22"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","8","6","22"
"","Richie Aman","Washington","Sr.","5-9","M","24","4","14","22"
"59","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","9","3","21"
"","Ricky Louis","Ga. Southern","So.","6-2","F","17","9","3","21"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","9","3","21"
"","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","7","7","21"
"","Stephane Njike","Maryland","So.","5-10","F","18","7","7","21"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","6","9","21"
"65","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","10","0","20"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","9","2","20"
"","Ethan Ballek","South Carolina","Sr.","6-0","M","17","8","4","20"
"","Kenan Hot","Duke","Sr.","5-11","M","19","8","4","20"
"","Finlay Oliver","Stony Brook","Jr.","6-5","F","19","8","4","20"
"","David Raphael","San Francisco","So.","5-8","F","17","8","4","20"
"71","Evan Howard","SIUE","Sr.","6-5","F","16","8","3","19"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","8","3","19"
"","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","8","3","19"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","8","3","19"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","17","8","3","19"
"","Alessandro Arlotti","Duke","Sr.","6-0","F","20","7","5","19"
"","Luca Bartoni","Lindenwood","Sr.","6-1","F","21","7","5","19"
"","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","7","5","19"
"","Drew Pedersen","Gonzaga","Jr.","6-1","F","16","7","5","19"
